"","LIMIT_BAL","SEX","EDUCATION","MARRIAGE","AGE","PAY_0","PAY_2","PAY_3","PAY_4","PAY_5","PAY_6","BILL_AMT1","BILL_AMT2","BILL_AMT3","BILL_AMT4","BILL_AMT5","BILL_AMT6","PAY_AMT1","PAY_AMT2","PAY_AMT3","PAY_AMT4","PAY_AMT5","PAY_AMT6"
"20",2e+05,2,1,2,29,-2,-2,-2,-2,-2,-2,9344,723,723,1038,2035,3664,723,723,1038,2035,3664,723
"21",2e+05,2,2,1,31,-1,2,-1,2,2,-1,2480,150,206,56,56,440,0,206,0,0,880,440
"22",2e+05,2,2,2,29,0,0,0,0,0,0,170964,174509,176523,180295,184104,195976,7788,6400,6700,6907,20163,1000
"23",2e+05,2,1,2,26,0,0,0,0,0,0,118267,103114,85698,64423,49432,34814,3263,5114,1613,1402,3055,7043
"24",50000,2,1,1,55,0,0,0,0,0,0,25043,26411,27451,19431,19837,20232,1775,1815,695,719,724,750
"25",120000,2,2,2,27,1,1,-2,-2,-2,-2,11238,0,0,0,0,0,0,0,0,0,0,0
"26",1e+05,2,2,2,25,0,0,0,0,0,0,98349,97473,91096,76371,77162,78084,3600,3000,2700,2800,3000,2800
"27",50000,2,2,2,53,2,2,2,0,0,2,3914,7419,7156,8492,9515,9287,3591,0,1500,1100,0,300
"28",180000,2,2,1,31,1,-1,2,-1,0,0,0,200,100,300,200,499,200,0,300,0,399,100
"29",20000,1,2,2,23,0,0,0,0,0,0,18963,19904,18038,19032,17372,17893,1300,1400,1300,700,800,1000
"30",30000,2,2,1,27,2,2,2,3,3,4,26648,27536,28203,29048,29903,30431,1600,1400,1600,1600,1600,1000
"31",4e+05,2,1,1,31,-1,-1,-1,-1,-1,-1,325,5581,2833,1162,325,325,5581,2833,1162,325,325,325
"32",30000,2,1,2,24,-1,-1,-1,0,0,0,3019,1479,18860,950,5660,0,1479,18881,0,4710,0,7153
"33",60000,2,3,2,44,2,2,2,2,2,2,11847,62478,55887,70562,71322,58821,55887,0,20783,2500,0,3000
"34",20000,2,2,2,32,-1,-1,-1,-1,-1,0,9763,925,4033,897,2147,1359,925,4033,1136,2147,407,700
"35",30000,1,2,2,30,0,0,0,0,-1,0,29993,29890,28561,-229,23930,26655,1856,1000,1698,24860,3500,3000
"36",2e+05,2,3,2,53,-1,0,-1,0,0,-1,784,1972,2577,2652,-6,1279,1188,2581,1013,0,1285,0
"37",50000,2,3,1,35,-1,-1,0,0,0,0,10458,37907,33604,25303,17841,6980,37907,1599,1200,0,0,3570
"38",90000,1,2,1,52,2,2,2,2,2,2,90603,92152,86671,91280,85868,91047,3900,0,6800,0,6500,0
"39",340000,2,2,2,30,0,0,0,0,-1,0,257884,254863,24810,27502,3490,99514,13000,2000,5000,3490,99000,5000
"40",2e+05,2,5,2,34,-1,-1,-1,-1,-1,-1,13943,8943,1662,2553,1977,3175,8964,1662,2553,1977,3175,1804
"41",80000,1,2,2,35,1,-2,-2,-1,-1,-1,0,0,0,19980,173,0,0,0,19980,173,0,0
"42",140000,2,2,1,24,0,0,0,0,2,0,121241,67929,65536,67645,62839,53457,4000,4000,8000,0,5000,2000
"43",1e+05,2,1,1,46,0,0,0,2,0,0,39245,41602,47885,46817,48400,51588,3000,7000,0,2500,4000,0
"44",150000,1,1,1,54,1,2,2,2,2,2,23959,23276,25294,26780,27143,27563,0,2400,2201,1100,1000,0
"45",170000,1,3,1,39,0,0,0,0,0,0,54397,55501,56823,56269,48558,45690,2009,2239,2067,1594,1576,1503
"46",210000,2,2,1,34,-1,-1,-1,0,0,0,25650,1360,31793,32943,30019,30657,1360,31793,1943,819,763,2280
"47",80000,1,2,2,27,0,0,0,0,0,0,60829,57556,59083,60051,41757,42641,2061,2455,2667,2002,2055,1000
"48",40000,1,2,1,38,3,2,0,0,2,0,38291,37380,38180,40524,39720,39860,0,1706,3050,0,1565,1278
"49",140000,2,1,1,32,0,0,0,0,0,0,129371,131025,39505,40894,39229,40679,5650,1650,2007,1500,2100,1500
"50",280000,1,2,1,41,2,2,2,2,2,3,135673,138532,134813,144401,152174,149415,6500,0,14254,14850,0,5000
"51",30000,2,1,2,21,2,2,0,0,0,-2,30769,29559,29197,29488,0,0,0,1000,590,0,0,0
"52",20000,2,2,1,24,0,0,0,0,0,0,18919,16743,17857,18310,18000,17294,1600,1687,1140,1800,1000,0
"53",30000,2,3,1,67,1,2,0,0,0,0,30734,28092,29112,29555,28536,29252,0,1800,1200,1083,1200,1250
"54",2e+05,2,1,1,40,2,2,2,2,2,2,80468,82874,84900,85758,87003,89112,4200,4100,3000,3400,3500,0
"55",440000,2,1,1,31,0,-1,-1,-1,-1,-2,232526,1025,0,26549,0,1000,1025,0,26549,0,1000,150
"56",180000,1,3,1,65,0,-1,0,0,0,0,191309,174775,174702,176816,180911,123229,175100,7000,5000,5309,5288,3000
"57",370000,2,2,2,38,0,0,0,0,0,0,75823,63617,65585,67223,62201,64356,5000,3000,3003,3000,3500,60000
"58",360000,1,1,2,26,1,-2,-2,-2,-1,-1,-8,-8,-8,-8,1677,2600,0,0,0,1685,2613,0
"59",180000,1,1,2,29,-1,-1,-1,-1,-1,-1,1124,18213,4390,1016,4745,0,18213,4390,1016,4745,0,0
"60",210000,1,1,1,40,0,0,2,0,0,2,130868,138909,135322,136339,143681,140425,11760,0,4546,9524,2,4756
"61",110000,2,1,2,26,0,0,0,0,-2,-2,104804,107979,93600,0,0,0,4988,1872,0,0,0,0
"62",20000,2,2,1,29,0,0,0,0,0,0,5586,6599,7615,8472,8640,8971,1268,1284,1141,309,470,321
"63",2e+05,2,2,2,27,-1,-1,-1,0,-1,-1,13285,2150,14122,27413,35377,29922,2155,14122,23007,7212,29922,37790
"64",50000,2,3,2,31,2,2,2,0,0,0,26411,28902,28139,28697,35084,29983,3231,0,1026,1063,1397,6212
"65",210000,1,2,1,37,1,-1,-1,-1,-1,-1,0,650,325,325,325,325,650,325,325,325,325,325
"66",150000,1,1,2,36,0,0,0,0,0,0,95716,96181,99933,102278,104710,107148,3226,4959,5000,2790,5083,0
"67",360000,1,3,1,46,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0
"68",60000,2,3,1,39,1,2,0,0,2,0,31011,29565,31123,34134,23552,24020,0,3000,3638,0,1000,3000
"69",320000,2,1,2,31,-2,-2,-2,-2,-2,-1,1345,5458,9572,3826,737,3865,5458,9579,3826,737,3865,300
"70",150000,2,2,1,35,0,0,0,0,2,0,39883,41045,41701,40699,25218,9340,1806,1462,2000,0,2000,44
"71",10000,1,2,2,45,1,2,0,0,0,0,9298,9093,8528,9319,9477,9736,1000,1200,1142,300,400,340
"72",240000,1,1,1,33,0,0,0,0,0,0,167835,170978,172217,163786,81611,79817,7200,8400,7000,3000,2900,3100
"73",80000,2,1,2,29,2,2,0,0,2,0,25248,24549,26823,29157,28389,29036,0,3000,2780,0,1100,1500
"74",230000,2,1,1,30,0,0,0,0,-1,0,37719,30341,25981,24092,65840,56538,3025,5000,5000,65840,2000,2000
"75",450000,2,1,1,69,-1,-1,-1,-1,-1,-1,2000,0,1173,0,6265,2374,0,1173,0,6265,2374,708
"76",60000,1,2,2,32,0,0,0,0,0,0,51934,40855,37742,29450,8850,0,2000,2000,1400,200,600,0
"77",150000,1,1,1,40,0,0,0,0,-1,0,123548,94995,52874,64269,73351,68257,4221,3094,30454,100049,5098,30242
"78",120000,1,2,1,45,0,0,0,2,-1,-1,22573,22506,12440,10218,3516,4321,5000,10218,0,4500,4321,3000
"79",450000,2,1,2,32,-2,-2,-2,-2,-2,-2,1249,142,5965,991,-9,1974,142,6001,996,0,1983,7228
"80",390000,2,3,2,30,0,0,0,0,0,0,338174,256104,221739,184529,175781,173442,8738,6545,6601,5700,6100,5000
"81",160000,1,4,1,45,1,-1,-1,-2,-1,0,0,10427,0,0,1817,1817,10427,0,0,1817,0,4700
"82",130000,2,2,1,51,-1,-1,-2,-2,-1,-1,99,0,0,0,2353,0,0,0,0,2353,0,0
"83",130000,2,3,2,32,0,0,0,0,0,0,12535,14317,15656,4918,6918,8944,2000,2040,3000,2000,2026,6561
"84",260000,1,1,1,37,0,0,0,0,0,0,257456,261189,264520,249571,202144,197643,10621,9948,8914,6986,41000,7222
"85",5e+05,1,2,1,33,-1,-1,0,-1,0,0,680,1094,1508,1862,3676,4961,1101,1100,2103,2500,2000,2000
"86",3e+05,2,1,1,41,-1,-1,-1,-1,-1,-2,66132,6917,3050,1760,0,0,6983,3331,1760,0,0,891
"87",20000,1,2,2,34,0,0,0,0,0,0,36773,17288,16212,17567,16089,20743,3210,2000,1600,871,5214,300
"88",280000,2,2,2,29,-2,-2,-2,-2,-2,-1,0,0,0,0,0,5017,0,0,0,0,5017,101
"89",350000,1,2,2,36,0,0,0,0,0,0,230738,232382,234254,211309,210897,191037,9503,9015,7511,8011,7361,7011
"90",360000,2,2,1,37,-1,-1,0,-1,-1,-1,10000,17444,17165,10000,10000,10000,17444,10035,10000,10000,10000,0
"91",50000,1,2,2,47,0,0,0,0,-1,0,51129,50378,48282,0,2068,30135,2096,1000,0,2068,30067,1051
"92",90000,2,3,1,53,0,0,0,0,0,0,60769,61943,62082,61436,27507,29218,2207,2500,1479,1000,3473,2500
"93",360000,2,1,1,40,2,2,2,0,0,0,105167,115468,112157,114690,117845,120238,12000,0,5900,5000,4500,4700
"94",80000,1,1,2,29,0,0,0,0,0,0,79048,80676,78311,80777,79306,79195,3000,3100,7000,3200,3500,3200
"95",10000,2,3,1,44,5,4,3,2,2,2,8678,8401,8128,7841,8579,8317,0,0,0,1000,0,1000
"96",50000,2,1,2,23,0,0,0,0,0,0,48064,49362,48038,8760,9646,7747,2091,1310,1000,1000,277,296
"97",50000,2,2,2,28,2,2,2,0,0,0,45004,48119,42958,37812,15617,9625,3880,10,8656,1044,349,414
"98",230000,2,1,2,33,-2,-2,-2,-2,-2,-2,4533,0,510,0,162,0,0,510,0,162,0,0
"99",70000,2,2,2,25,0,0,0,0,0,0,63745,55670,47413,44590,45890,47126,2294,2100,1600,2000,2000,1750
"100",50000,2,2,2,24,0,0,0,0,0,0,16090,50912,34027,9568,9913,10132,36027,1807,1000,500,400,500
"101",4e+05,2,1,1,32,-2,-2,-2,-2,-2,-2,3616,0,3328,3328,3828,4893,0,6656,3328,3828,4893,4687
"102",90000,2,2,1,39,1,2,2,2,0,0,90880,87502,91442,89804,87213,90441,0,7300,1144,3265,6788,0
"103",280000,1,1,1,41,-2,-2,-2,-2,-1,0,28026,41302,51500,35752,3955,13969,41346,52110,35752,3955,13939,4437
"104",230000,2,1,2,29,-2,-2,-2,-2,-2,-2,0,0,1024,0,0,0,0,1024,0,0,0,0
"105",120000,2,2,2,24,2,0,0,0,0,0,67714,51385,35160,13425,8517,6174,2102,1021,274,3001,1004,4005
"106",30000,1,2,2,28,1,-2,-2,-2,-1,-1,0,0,0,0,2805,0,0,0,0,2805,0,0
"107",150000,2,2,1,40,-1,-1,-1,-1,0,-1,32117,3502,2056,7756,4993,918,3505,2056,7756,0,918,22200
"108",20000,2,2,1,24,0,0,0,-1,-1,-1,16393,8118,5463,1379,2668,390,1688,1463,1379,2668,390,390
"109",130000,1,2,1,27,0,0,-1,0,0,0,53119,48994,17285,12448,12855,11795,3106,22511,600,1005,1004,1006
"110",180000,1,2,1,26,0,0,0,2,-1,-1,175539,138825,51686,2594,171716,181693,3826,7000,0,171716,13400,0
"111",240000,2,1,2,39,0,-1,0,0,0,0,52595,238861,198351,195242,187710,171828,238861,6678,7537,10555,5223,5829
"112",30000,1,1,2,29,1,-2,-1,0,0,2,0,0,22015,22649,24583,25227,0,22015,1000,2300,1200,0
"113",80000,2,2,1,46,0,0,0,0,0,0,76270,77376,38556,34345,36020,38420,3400,3000,3000,3000,3000,3000
"114",50000,2,1,2,26,0,0,2,2,2,2,5800,8189,7909,9767,9466,11300,2500,0,2000,0,2000,400
"115",50000,2,3,3,46,-1,-1,-1,-1,-1,-1,390,390,390,390,1200,1869,390,390,390,1200,1869,3610
"116",5e+05,1,3,1,43,0,0,0,0,0,0,57313,54997,44226,40712,37311,27068,4060,5014,5005,4000,5000,0
"117",30000,2,1,2,43,0,0,0,0,0,0,29327,30487,29417,30379,30452,0,1659,1589,1551,1124,0,0
"118",230000,2,1,1,42,-1,-1,-1,-1,-1,-1,6865,15111,13165,0,10500,6992,15111,13165,0,10500,6992,0
"119",490000,1,1,2,36,-2,-2,-2,-2,-2,-2,5310,2691,3367,-46,9285,-14,2711,3384,0,9331,0,2960
"120",5e+05,2,3,2,46,-1,0,-1,-1,0,0,24239,36674,1558,310852,301854,133761,15000,1558,310852,10000,5000,5000
"121",150000,1,4,2,29,0,0,0,0,0,0,200442,206334,206221,69995,60000,0,8500,8000,2500,1500,0,0
"122",10000,1,2,1,41,-2,-2,-2,-2,-2,-2,3311,7244,3980,0,9263,3693,7244,4000,0,9263,3693,0
"123",2e+05,2,2,1,30,0,0,2,0,0,0,33604,35706,34064,30519,26166,28097,3000,1500,2547,2500,2500,3500
"124",90000,2,1,2,23,-1,-1,-1,0,0,0,5802,4657,10967,14644,12467,4155,4657,10967,10000,249,0,0
"125",180000,2,1,2,27,-2,-2,-1,-1,-1,0,12275,6491,37424,0,5758,18091,6491,37433,0,5758,18000,1000
"126",50000,2,2,3,44,-1,-1,-1,-1,-1,-1,390,390,390,390,390,390,390,390,390,390,390,390
"127",30000,2,2,1,42,2,0,0,0,0,0,5288,6310,8693,11541,13344,15118,1117,2500,3000,2000,2000,553
"128",70000,2,1,1,35,2,2,2,2,2,2,51143,53185,55030,56530,55027,58461,3500,3300,3000,0,4500,2500
"129",70000,2,2,2,23,-1,0,0,0,0,0,3082,4370,9353,15282,20400,12915,1500,5353,6282,6342,2055,3257
"130",250000,1,1,2,29,0,0,0,0,0,0,51268,52542,53779,54503,55685,57985,2500,2500,2000,2000,3000,4100
"131",120000,2,2,1,37,-1,2,0,0,0,0,200,200,42200,42000,42000,0,0,42000,200,0,0,0
"132",90000,1,3,2,45,0,0,0,-1,0,0,86519,88925,56116,48430,49585,50443,4100,2500,52285,2000,2100,5000
"133",110000,2,3,0,31,0,0,0,0,0,0,89989,84229,79288,73315,63818,63208,4000,5000,3000,3000,3000,8954
"134",130000,1,2,1,31,-1,-1,-1,-1,-1,2,1261,1261,1261,1411,930,390,1261,1261,1411,930,0,780
"135",450000,1,1,1,30,0,0,-2,-2,-2,-2,25244,0,0,0,0,0,0,0,0,0,0,134745
"136",150000,2,1,1,38,-2,-2,-2,-2,-2,-2,1736,0,0,0,0,0,0,0,0,0,0,0
"137",180000,2,1,1,37,2,-1,-1,-1,-1,0,326,326,326,480,1011,2685,326,326,480,1011,2000,3000
"138",50000,1,2,1,47,1,-1,2,2,-1,-1,-658,46342,25600,-400,40000,0,47000,0,0,20400,0,0
"139",50000,1,2,2,25,2,2,0,0,0,2,7180,6922,7849,8018,8884,8593,0,1200,300,1000,0,1000
"140",50000,2,3,1,52,1,2,0,0,2,2,30505,29731,31062,33231,33736,33042,0,1831,3000,1182,0,1228
"141",180000,2,2,1,47,-1,-1,-2,-2,-2,-2,11900,4256,4000,4000,4000,4000,4256,4000,4000,4000,4000,4000
"142",60000,2,2,2,25,2,2,4,4,3,2,600,600,600,600,300,150,0,0,0,0,0,586
"143",2e+05,2,1,2,39,-2,-2,-1,-1,-2,-2,0,0,798,0,307,497,0,798,0,307,497,0
"144",170000,2,2,1,37,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0
"145",360000,2,2,2,44,-1,-1,-1,-1,-1,-1,10311,2758,1397,298,7950,60097,2758,1397,298,7950,60097,1200
"146",1e+05,2,2,2,36,0,0,0,0,0,0,87656,90341,92244,93316,95158,97776,5000,4300,3500,3500,4200,4500
"147",20000,1,3,2,27,0,0,0,0,0,0,11849,13144,14429,15659,16959,-41,1500,1500,1500,1500,3000,13500
"148",5e+05,1,1,1,55,3,2,2,2,2,2,4957,4957,4957,4957,4957,4957,0,0,0,0,0,0
"149",30000,1,1,1,33,0,0,0,0,0,0,28700,28639,30171,29322,28572,0,1800,2300,1508,1000,0,0
"150",150000,1,2,1,40,0,0,0,0,0,0,141697,144833,137737,140047,144557,133716,7000,7000,6000,7000,5021,9000
"151",180000,2,3,0,45,-1,-1,-2,-2,-2,-2,4148,0,0,0,0,0,0,0,0,0,0,0
"152",20000,1,2,2,25,0,0,3,2,2,-1,15789,21698,21054,20355,19980,3470,6500,0,0,10000,25065,177
"153",130000,2,1,1,30,0,0,0,0,-1,-1,9255,10264,7060,4480,3000,0,1204,1000,3990,3000,0,200
"154",80000,1,1,2,23,0,0,0,0,0,2,59976,60130,59744,44031,48089,44789,2926,2550,1848,6084,38,4
"155",130000,1,2,2,29,-1,-1,-2,-2,-2,-2,3594,0,0,0,0,0,0,0,0,0,0,0
"156",150000,2,2,2,41,-1,-1,-1,0,-1,-1,2371,40800,1995,285,4926,5523,40824,2340,0,4970,5527,903
"157",260000,2,5,1,41,-1,-1,-1,-1,-1,-1,2398,2289,3593,5332,1994,5782,2294,3601,5348,2802,5801,2013
"158",20000,2,1,2,22,0,0,0,0,-1,0,18553,19446,19065,8332,18868,19247,1500,1032,541,20000,693,1000
"159",50000,2,2,3,42,0,0,0,0,0,0,49699,49446,50694,44858,19298,19514,1857,2295,1572,5000,1000,813
"160",50000,2,2,2,22,1,2,0,0,0,0,44980,41140,31888,28639,26737,24784,7,1580,1621,1020,2473,1079
"161",230000,2,3,3,48,0,0,0,0,0,0,41134,50379,54556,58624,59848,68828,10000,5000,5000,2197,10000,5000
"162",250000,2,2,1,35,1,2,2,2,2,2,196192,191745,205681,200988,217830,223254,0,17000,0,20000,9078,8500
"163",2e+05,2,2,2,37,1,2,0,0,0,0,226365,214261,210315,206563,202896,173111,0,8000,9000,8000,7000,7200
"164",180000,1,1,2,33,0,0,0,-1,-1,-2,37711,40102,78400,3000,0,0,3000,40129,3000,0,0,0
"165",50000,2,2,1,26,0,0,0,0,0,0,14661,11586,9275,11181,2931,27209,3000,1000,5000,0,25000,5000
"166",70000,1,3,2,25,1,2,0,0,0,0,69447,67209,56580,24991,16036,16667,0,4000,1500,3000,2500,5000
"167",30000,1,2,2,39,0,0,0,2,0,0,28347,28108,18388,12992,7736,8032,3036,2309,0,1000,2000,148
"168",2e+05,1,2,2,30,-2,-2,-2,-2,-2,-2,48492,49934,24753,123439,132269,129224,20294,24891,125171,17816,26269,4349
"169",30000,1,1,2,27,0,0,0,0,0,0,27159,27577,28838,28085,28428,29430,1500,1749,1200,1100,1465,1386
"170",30000,2,2,2,32,0,0,0,0,0,0,29480,30394,28072,28885,29287,23012,1431,1579,1402,804,732,1820
"171",50000,1,3,1,50,0,0,0,2,0,0,63889,65512,68764,14353,16110,17832,2800,4000,0,2000,2000,1000
"172",150000,1,2,2,26,0,0,0,0,0,0,144614,146446,122634,74711,76532,76452,6700,3764,2700,3000,3000,2800
"173",150000,2,2,1,35,0,0,0,0,0,0,128278,131715,133625,49019,44801,39742,7000,6000,1800,1600,2000,1700
"174",1e+05,2,1,2,25,-1,-1,-1,-1,0,0,12660,5000,0,6272,10135,11958,5000,0,6272,4000,2000,0
"175",80000,1,1,2,35,0,0,0,0,0,0,52132,52568,54108,55310,48198,43536,3000,3000,3000,2000,2000,2000
"176",150000,2,1,2,28,0,0,-1,4,3,2,8982,0,1187,1182,882,441,0,1187,0,0,0,583
"177",80000,2,2,1,38,-1,-1,-1,0,0,-1,4404,5096,11473,21086,2034,17678,5096,11476,16037,0,17678,6000
"178",280000,2,1,2,27,0,0,0,0,0,0,56144,58180,34855,36000,37684,22478,5000,5000,2000,2000,2000,2000
"179",50000,1,1,2,27,0,0,0,2,2,2,17468,48675,36287,30691,29901,49293,32400,4000,1200,0,20000,2000
"180",50000,1,3,2,26,0,0,0,0,0,0,35429,30626,30241,20284,19166,19567,1537,1947,800,1000,718,683
"181",270000,1,2,2,31,0,0,2,2,2,2,21129,16616,16911,14692,13907,10660,1697,2500,0,1000,0,2000
"182",150000,2,3,1,46,0,0,0,0,0,0,61510,62731,64047,65966,66671,68067,2240,2321,2980,2400,2468,2611
"183",390000,1,1,1,41,-1,0,0,-1,-1,0,7445,14439,7391,948,4592,2777,10038,1036,952,4601,13,2229
"184",270000,1,1,2,36,-2,-2,-2,-2,-2,-2,11464,1879,6896,8583,880,4861,1879,6909,8587,880,4861,3212
"185",40000,1,2,1,46,2,2,2,3,2,3,27324,30108,32515,31698,33581,32772,3573,3206,0,2700,0,0
"186",20000,2,2,1,50,1,-1,-1,-1,2,-1,0,390,181,891,501,1051,780,181,1100,0,1100,4030
"187",10000,2,2,2,22,5,4,3,2,2,2,8541,8270,7995,7720,8224,7944,0,0,0,778,0,158
"188",150000,1,3,2,44,0,0,0,0,0,0,151009,148047,147851,151310,107033,109350,6913,5937,6500,4000,4000,4000
"189",390000,2,1,2,42,0,0,0,0,0,2,98262,94122,89672,83663,84449,75445,5003,5000,3200,9000,0,5000
"190",80000,1,2,1,29,0,0,-1,-1,-1,0,80832,40283,317,401,34985,37004,2000,450,500,35000,3000,2000
"191",50000,1,2,2,27,0,0,0,0,0,0,19657,20723,21784,22794,23115,23752,1700,1700,1679,1000,1010,1400
"192",180000,1,2,2,23,0,0,0,0,0,0,96709,99673,100951,104625,106498,115632,4485,3682,5253,5000,11000,10000
"193",290000,2,1,1,34,0,0,0,0,0,0,93844,97708,103066,104864,110151,115297,6000,7000,5000,7000,7000,7000
"194",30000,2,2,1,37,-2,-2,-2,-2,-2,-2,108,709,11726,2628,2659,4483,709,11726,2713,2659,4483,3676
"195",80000,2,2,1,35,-1,-1,-1,-1,-1,0,2890,9796,13443,396,396,396,9796,13443,396,396,0,396
"196",50000,2,2,2,36,2,0,0,0,0,0,42380,40288,32631,29968,29092,29977,1901,1744,1027,1033,1345,1000
"197",50000,2,3,2,41,2,2,0,0,0,0,23203,23534,24838,25429,26020,26541,1000,2000,1000,1000,955,1500
"198",230000,2,2,2,27,1,2,0,0,0,0,13668,12647,13135,10596,9218,5068,0,1064,423,313,1000,4641
"199",140000,1,1,2,27,0,0,0,0,0,0,72274,70098,60180,43920,42670,41584,3231,2290,3499,1800,2000,2000
"200",180000,1,2,2,28,1,1,-2,-2,-2,-1,23638,-46,-46,-46,-46,1154,3000,0,0,0,1200,44338
"201",290000,2,2,1,42,0,0,0,0,0,0,19281,21654,20073,25966,22347,12572,6654,1476,10002,447,251,16338
"202",80000,1,3,2,44,2,0,0,0,-2,-2,78950,79788,70319,0,0,0,2815,1858,0,0,0,0
"203",50000,1,2,2,41,0,0,0,0,0,0,40710,42736,43751,44619,45900,46845,3000,1729,1597,2000,1709,1665
"204",150000,2,1,2,32,0,0,0,0,0,0,18519,19926,18600,13551,20759,21200,3000,4003,2551,15579,11200,3575
"205",80000,1,1,2,26,0,0,0,0,0,0,79565,78617,79229,77858,79566,74746,3481,3000,3000,3000,3000,1656
"206",210000,1,1,1,42,-1,-1,-1,-1,-1,-1,2827,3517,4412,2700,3578,4075,3527,4425,2708,3588,4087,1841
"207",310000,2,1,1,37,-2,-2,-2,-2,-2,-2,123,123,0,123,0,0,123,0,123,0,0,0
"208",50000,1,3,1,51,1,2,0,0,0,0,48091,47028,46672,28478,29074,29671,1,2213,1019,1055,1080,1245
"209",80000,1,1,2,28,0,0,0,0,0,0,75923,57259,50845,36207,32515,15128,2500,2548,2500,1100,1000,1000
"210",440000,1,1,1,31,-1,0,0,0,0,-1,21359,18905,16540,13247,7577,1652,5023,3024,1043,3037,1660,365
"211",20000,2,2,1,38,1,-1,-1,-2,-2,-2,0,2000,0,0,0,0,2000,0,0,0,0,0
"212",30000,2,2,2,46,1,-1,0,0,0,0,8891,24501,24886,25014,29356,25515,28001,1245,763,5000,1164,9114
"213",230000,2,1,1,35,0,0,-1,-1,-1,-1,6012,0,1897,0,89,2398,78,1897,0,89,2398,671
"214",50000,1,1,1,41,0,0,0,2,2,2,34384,35503,38931,38006,44357,43516,2000,4000,0,7000,0,2000
"215",50000,1,3,2,51,2,2,0,0,0,0,51264,48695,32617,18834,15810,15786,68,1510,1724,0,366,1455
"216",20000,2,3,1,54,2,0,0,2,2,2,14381,16174,18210,19335,19715,20249,2350,2300,1721,1000,1000,1000
"217",2e+05,2,1,1,38,-1,-1,-1,-1,-1,-1,3824,6115,11950,7311,18517,6787,6115,11950,7311,18567,6787,6653
"218",50000,1,3,1,49,0,0,0,0,0,0,49331,46429,47446,39516,17643,32230,2000,3030,4000,2000,2800,2936
"219",80000,2,2,2,28,0,0,0,2,2,2,44739,46708,49611,50496,51543,50563,3000,4000,2000,2000,0,5000
"220",90000,2,2,1,35,0,0,0,0,0,2,72112,73854,75526,77317,85852,88290,3500,3500,3652,10000,4000,0
"221",50000,2,2,2,29,0,0,0,0,0,0,47081,49316,50409,45545,39963,41145,3000,2000,2000,2000,2000,2000
"222",210000,2,2,2,38,-1,-1,-1,-1,-1,-1,1026,3751,4366,5602,21034,1026,3751,4366,5602,21034,1026,1026
